,1,2,3,4,5,6,7,8,9,10,11,12
A,71998,71994,71953,72005,72002,71999,72002,71999,72000,71996,72002,72005
B,96004,95998,96000,95999,95998,96001,96007,95996,95998,96001,95998,96002
C,576005,576008,576014,575998,575995,576008,576000,575998,576011,575999,575983,576012
D,24000,23999,23999,24001,24000,23996,24000,24001,23999,24002,24000,24001
E,96003,96004,96007,96006,96000,96000,96001,96003,95998,96001,95998,95999
F,48001,47999,47999,48002,47996,47997,48000,48002,47997,48001,47997,47999
G,71998,72000,72001,72004,71998,71998,72004,72000,71999,72003,72001,72000
H,95997,96000,95999,95996,96002,95999,96000,96002,96003,95998,95998,96002
I,48000,48000,48002,48000,47996,48001,47999,47999,48002,47999,48000,48003
J,144005,143998,143999,144000,143994,144002,144002,143997,144000,143999,143995,144002
K,72005,72001,72000,71994,72002,72001,71997,71995,72004,72003,71999,72002
L,23999,24000,23999,24001,24000,23999,23999,24001,24001,23999,24000,23998
N,23999,24000,24000,24001,24001,24000,24000,24000,24000,24004,24000,23999
