,1,2,3,4,5,6,7,8,9,10,11,12
A,72004,72001,72000,71999,72000,71997,72001,71999,71998,72002,72002,72001
B,96006,95998,96000,95999,96001,95993,96003,95998,95996,96003,96001,96006
C,576003,576003,576006,575996,576000,575996,575997,576005,575995,576006,576003,575988
D,24003,24001,24003,23999,23999,24000,23999,23998,24001,23997,24000,24002
E,95998,95991,95999,96004,95999,95999,95995,96003,96005,95994,96002,95999
F,47999,48001,47998,47998,48000,48000,48002,47997,47998,47998,48004,48002
G,72000,72003,71997,71997,72001,72002,71998,71997,72000,71999,72005,72003
H,95998,96005,96002,95998,95997,96003,95999,95999,96001,95995,96000,96004
I,48000,48001,47996,47998,48000,47998,47999,48001,47997,47997,48001,48000
J,143999,143998,143997,143995,143992,144007,144000,143995,143997,143996,144005,144003
K,72000,72001,72000,71996,72001,71998,72003,71998,72003,71998,71995,71998
L,24000,24001,24001,24001,24000,24001,24002,24000,24001,23999,24001,24001
N,24000,24000,23998,23997,24000,23999,24000,23998,24000,24001,24001,23997
