,1,2,3,4,5,6,7,8,9,10,11,12
A,72002,71999,71998,71999,72002,71997,71999,71997,71999,72000,71999,71998
B,96005,95996,96001,95999,96002,96005,96001,96002,95999,96003,95996,95999
C,575998,576003,576014,575997,575997,575998,576002,576000,575997,576001,575998,576005
D,23998,23997,24000,24002,24001,24000,24002,24001,24000,24000,24001,23999
E,96001,95999,96003,96003,95995,96001,96002,95999,96001,95993,95998,95999
F,48001,47999,48003,47998,47999,48001,48001,48001,48001,48001,47999,48000
G,72004,71999,72000,71996,71999,72001,71999,72000,72005,71998,71997,72000
H,95998,95998,96005,95999,96001,96001,95993,96001,96000,95993,96004,95994
I,47999,47996,47997,48001,48002,48001,48001,48000,47998,48000,48000,47998
J,143996,144000,144002,144007,143997,144008,143993,143995,144002,143997,143993,143996
K,72000,72000,72002,72001,72001,72002,71998,71999,72001,72005,71997,72002
L,24000,24001,24002,24000,24001,24000,24001,23997,24000,24001,24002,23998
N,24000,24000,24001,23999,23998,24002,24003,24001,24001,24001,24001,24002
