,1,2,3,4,5,6,7,8,9,10,11,12
A,72000,72001,72001,71999,71999,72001,71999,72001,71998,71998,72001,71998
B,96000,95996,96000,95996,95998,95998,96002,96001,96003,96000,96000,95997
C,576007,575995,576005,575999,575985,575997,575990,575999,576006,576006,576006,576020
D,23998,24001,24001,23999,24000,23999,24000,23999,24001,24000,24001,24000
E,96006,96006,96000,96007,95998,96002,95996,96000,96001,95997,96003,96002
F,47998,47999,48002,47997,48002,47997,47997,48000,48000,48004,47998,47999
G,71998,71997,72001,72000,72000,72000,72002,72001,71999,71998,72001,71998
H,96002,96002,96005,95999,95997,95999,96002,96005,95999,96005,96003,96002
I,47998,48000,47999,48000,47995,48001,47999,48001,48000,48000,47999,48002
J,143997,144002,143996,143996,144000,144001,144001,144000,144002,144003,144003,143989
K,71997,72001,72006,72000,72001,72002,72001,72003,72001,71999,71996,71999
L,24000,23999,24000,24003,24001,24002,24000,24000,23998,24000,24000,23999
N,24000,24001,24000,23998,23999,23998,24001,24001,24000,23997,23997,24001
