,1,2,3,4,5,6,7,8,9,10,11,12
A,71999,72002,72001,69727,72181,70870,71999,72002,71998,72006,72003,88269
B,96003,96000,95998,165862,97767,100518,95996,96000,96001,96001,96004,92901
C,576006,575995,575996,693676,581385,608521,576002,576001,576006,575996,575999,583020
D,24000,24002,23999,23669,24133,26609,24000,24000,24000,24002,24000,25032
E,95998,96001,96004,103210,96384,98721,95999,96002,96001,95997,95999,98816
F,47996,48003,47999,54045,48370,50741,48002,47999,48000,47998,47998,57860
G,72002,71999,71998,118719,73560,81745,71994,72003,71998,71998,71998,86776
H,96000,95994,96000,138365,97564,103620,95995,96002,95994,96002,96001,109352
I,47999,48003,48002,55424,48584,53866,48000,47999,48002,47998,47999,59816
J,144000,144005,144007,156531,144949,155343,143997,144001,143997,144001,144001,157061
K,72003,72001,72001,101576,73365,83142,71996,72002,72003,71999,71996,80210
L,23998,24000,24000,34279,24471,27726,24003,23999,23999,24000,24001,29374
N,23999,24000,24000,35185,24439,26371,24001,24000,24001,23999,23997,43686
