,1,2,3,4,5,6,7,8,9,10,11,12
A,71998,72000,72001,71996,72001,71999,72000,71996,72000,71999,72003,72002
B,96000,96002,96000,96003,95996,96009,96000,96001,96001,95998,96003,95999
C,575998,575998,576004,575992,575997,575995,576018,575994,575992,576000,576000,576000
D,24001,24001,23998,24002,24001,24000,23999,24000,23998,23999,24001,24000
E,96004,96000,96002,96000,96007,96004,95998,96003,95999,96001,95996,96001
F,47999,47999,48001,47998,48000,47998,48000,48000,48000,48002,48003,48002
G,71998,71998,72006,72000,72000,72005,71998,71999,71999,71993,72002,72000
H,96003,96000,96001,95999,96001,95997,95996,95995,96003,95999,95997,96000
I,48002,48000,48002,47998,48003,48000,47996,48002,47998,47996,47999,48001
J,143996,144007,143997,144008,143998,143998,143994,144004,144001,144001,144003,143997
K,71998,72003,72000,72003,71997,71997,71999,72000,71995,71999,71999,72000
L,24000,23998,23999,23999,23999,24001,23998,24000,24000,23999,23999,23998
N,24000,23999,24001,23999,24002,24003,23999,24000,24002,24002,24001,24002
