,1,2,3,4,5,6,7,8,9,10,11,12
A,71994,71992,72000,71998,71999,72002,72001,72006,72003,72000,71995,71997
B,96008,96008,96008,96008,96017,96003,96013,96017,96008,96010,96000,96017
C,576094,576089,576077,576064,576106,576057,576073,576068,576078,576089,576074,576079
D,24000,24000,24000,23999,23999,23999,24000,23999,23999,23999,24001,24000
E,96015,96012,95997,95996,96000,95997,96000,95998,96000,96000,96008,96010
F,47999,48000,48002,47998,48001,48003,48003,48001,48004,48005,48000,48003
G,72005,72007,72000,72006,72009,72005,72001,72007,72007,72003,72007,72008
H,96006,96009,96006,96007,96003,96006,96010,96007,96012,96000,96000,96001
I,47997,47997,47995,47996,47998,47996,47996,48000,47997,47996,47993,47992
J,144003,143997,143993,143998,144001,144000,144001,144001,143997,143997,144002,144002
K,72006,72002,72005,71998,72008,72007,72003,72006,72000,72002,71999,72001
L,24002,24001,23999,24000,23999,24001,24001,24000,24000,23999,24002,23999
N,23999,24011,24007,23992,23992,23983,23996,23993,24001,23991,23986,23994
