,1,2,3,4,5,6,7,8,9,10,11,12
A,72001,72000,72000,71998,71998,71997,72000,72002,72006,72001,72004,72000
B,96001,96002,96002,96002,96004,95999,96000,96002,96003,95999,96000,95998
C,575994,575992,576005,575991,576003,575995,576002,576005,576007,576001,575999,575988
D,24001,24002,24002,24002,24001,23998,24000,24000,24000,23999,23999,23998
E,96000,96005,96004,96002,96000,95997,95994,96005,96000,96005,95996,96004
F,48001,48003,48000,47997,48000,48000,47997,48002,48001,48002,48000,48000
G,72000,71999,72000,72000,71999,72002,72001,72001,72000,71997,72001,72002
H,96001,95999,96001,96004,96005,95996,96003,96004,96000,95998,96003,96000
I,48000,48000,48002,48004,47999,47999,47996,47997,47997,47999,48000,48003
J,144001,144000,143996,143999,143995,143998,143997,144005,144001,143995,144004,143996
K,72005,71999,72000,72001,72003,72001,72000,71999,71999,72002,72000,72001
L,24001,24001,24001,23999,24002,24003,24000,24001,24002,24002,24001,23999
N,24000,23999,24002,23999,24001,24000,23999,24000,24002,24002,24002,24003
