,1,2,3,4,5,6,7,8,9,10,11,12
A,72004,72001,71998,72001,72001,72001,71997,71997,72002,71999,72002,71998
B,95993,96000,95997,96002,95999,96001,95999,96002,95999,96005,96002,96000
C,575998,575995,576007,575992,576005,575997,576001,575999,576003,575990,576011,576002
D,24002,24003,23999,24001,24000,23999,23998,24002,24000,24001,24001,23997
E,96002,95998,96005,96001,96000,96000,96003,95998,96004,96002,96003,96002
F,48000,48001,48001,48000,47998,48004,48000,47998,48000,47997,48003,48002
G,72005,72000,72005,72003,72000,71995,71997,71998,72006,72002,71998,72000
H,96000,95997,96001,96000,95999,96007,95997,96000,95999,96005,96000,95998
I,47996,47996,47997,48067,48036,47998,47999,48001,48000,48001,48002,48001
J,144001,143998,143997,144002,143998,143997,144004,144001,144006,144001,144000,144003
K,72001,72002,72002,72000,71999,71999,72000,72001,72000,72000,71994,72001
L,24032,24000,24001,24033,23999,24001,24001,23999,24003,23999,24000,23999
N,23998,24002,24001,24000,24001,24000,24000,23997,24000,24001,24000,24002
